group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + clustercentroid,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3022,small
tvae + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.341,medium
fastml + editednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.299,small
adasyn + clustercentroid,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5057,large
ctgan + tomeklinks,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.466,medium
adasyn + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4679,medium
fastml + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3728,medium
ctgan + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3387,medium
tvae + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3026,small
ctgan + random,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.412,medium
adasyn + clustercentroid,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3607,medium
fastml + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.383,medium
adasyn + clustercentroid,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3969,medium
fastml + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.332,medium
ctgan + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4561,medium
adasyn + clustercentroid,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4179,medium
adasyn + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4976,large
ctgan + random,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3261,small
ctgan + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5223,large
ctgan + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4118,medium
ctgan + random,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2999,small
ctgan + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4643,medium
ctgan + nearmiss,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3686,medium
fastml + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2958,small
