group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
adasyn + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8878,large
random + condensednn,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5736,large
adasyn + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8501,large
adasyn + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8968,large
adasyn + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8391,large
adasyn + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8523,large
adasyn + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8813,large
random + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8022,large
adasyn + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8457,large
adasyn + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8712,large
random + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7974,large
adasyn + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8434,large
random + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6883,large
random + condensednn,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3412,medium
random + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.67,large
random + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6603,large
random + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7046,large
adasyn + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8818,large
