trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
158,ctgan,auto,condensednn,0.25,0.6282040340090724,COMPLETE,2025-03-29 06:56:57.717431,2025-03-29 06:57:10.807651,13.09022
159,adasyn,0.5,editednn,0.25,-1.0,COMPLETE,2025-03-29 06:57:10.820628,2025-03-29 06:57:10.865435,0.044807
160,tvae,1,random,auto,0.987038663735101,COMPLETE,2025-03-29 06:57:10.877042,2025-03-29 06:57:26.028514,15.151472
161,adasyn,0,instancehardness,auto,0.9763580747443754,COMPLETE,2025-03-29 06:57:26.043086,2025-03-29 06:57:41.323209,15.280123
162,ctgan,auto,clustercentroid,auto,0.9782569445361456,COMPLETE,2025-03-29 06:57:41.337907,2025-03-29 06:58:04.275097,22.93719
163,ctgan,0.25,random,0.125,0.9891823765397848,COMPLETE,2025-03-29 06:58:04.287709,2025-03-29 06:58:21.388016,17.100307
164,random,1,onesidedselection,0.125,0.9783747611716287,COMPLETE,2025-03-29 06:58:21.401025,2025-03-29 06:58:34.571643,13.170618
165,adasyn,0.5,condensednn,0,-1.0,COMPLETE,2025-03-29 06:58:34.592440,2025-03-29 06:58:34.635994,0.043554
166,fastml,2,onesidedselection,0.5,0.9848589721253914,COMPLETE,2025-03-29 06:58:34.646740,2025-03-29 06:58:49.760258,15.113518
167,gaussiancopula,auto,onesidedselection,0.5,0.9783653319196244,COMPLETE,2025-03-29 06:58:49.773046,2025-03-29 06:59:04.504919,14.731873
168,adasyn,0.5,onesidedselection,0,-1.0,COMPLETE,2025-03-29 06:59:04.516894,2025-03-29 06:59:04.560558,0.043664
169,ctgan,2,instancehardness,auto,0.9892084292555944,COMPLETE,2025-03-29 06:59:04.572223,2025-03-29 06:59:23.298857,18.726634
170,fastml,0.25,tomeklinks,0.5,0.9827175859688069,COMPLETE,2025-03-29 06:59:23.313101,2025-03-29 06:59:38.648035,15.334934
171,random,0,editednn,0.125,0.9784313187068703,COMPLETE,2025-03-29 06:59:38.662937,2025-03-29 06:59:53.025801,14.362864
172,copulagan,auto,editednn,0.5,0.9783033686864364,COMPLETE,2025-03-29 06:59:53.040581,2025-03-29 07:00:10.277116,17.236535
173,gaussiancopula,0.5,random,0.25,0.98916403461858,COMPLETE,2025-03-29 07:00:10.288434,2025-03-29 07:00:26.393748,16.105314
174,tvae,2,instancehardness,auto,0.9826641023852425,COMPLETE,2025-03-29 07:00:26.405639,2025-03-29 07:00:42.893003,16.487364
175,copulagan,0.5,clustercentroid,0.25,0.9739098244963075,COMPLETE,2025-03-29 07:00:42.914084,2025-03-29 07:01:06.838564,23.92448
176,copulagan,0.5,onesidedselection,0,0.9848186793619221,COMPLETE,2025-03-29 07:01:06.851613,2025-03-29 07:01:23.694651,16.843038
177,fastml,1,condensednn,0.125,0.6002126634042212,COMPLETE,2025-03-29 07:01:23.708077,2025-03-29 07:01:36.504630,12.796553
178,tvae,0.25,clustercentroid,0.25,0.9935064935064936,COMPLETE,2025-03-29 07:01:36.517038,2025-03-29 07:01:58.323337,21.806299
179,tvae,0.25,nearmiss,0.5,0.9826747146507947,COMPLETE,2025-03-29 07:01:58.344983,2025-03-29 07:02:14.770840,16.425857
