group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
adasyn + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6802,large
adasyn + condensednn,fastml + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5105,large
adasyn + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.643,large
fastml + editednn,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2794,small
adasyn + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.675,large
ctgan + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3443,medium
adasyn + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6184,large
adasyn + condensednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6714,large
adasyn + condensednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6453,large
adasyn + condensednn,ctgan + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.513,large
adasyn + condensednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6416,large
adasyn + condensednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6567,large
